allele	cell_id	pos	x	y	z
129	23	28	144788.219272917	67142.2484715798	4610.55048403468
129	23	29	144794.876484411	67125.1894158186	4537.07199067869
129	23	30	144906.175689653	67294.8482784785	4324.69979160014
129	23	31	144855.896923004	67003.6300234729	4128.68377037973
129	23	32	144842.743164849	66963.0109228266	4235.11326228125
129	23	33	145010.6664926	66983.3654598749	4270.82141618407
129	23	34	144877.073058755	67127.3114438496	4280.87441077785
129	23	35	144953.735684158	67156.2746350283	4095.61720832247
129	23	36	144802.344056083	67281.4368110057	4122.66150434873
129	23	37	144790.091106349	67103.9377512429	4157.63367557551
129	23	38	144713.737200922	67143.7223514828	4224.28633311779
129	23	39	144708.68705718	66971.0780779141	4085.61449867036
129	23	40	144717.850662504	67035.6316981591	4111.04007729736
129	26	0	160120.019523281	70381.3817512982	2657.02923458206
129	26	1	160152.600109365	70357.6046297199	2668.56928339412
129	26	2	160185.409167726	70397.5226951456	2562.95014130151
129	26	3	160146.1369684	70410.8599475342	2425.24120163162
129	26	7	159854.889843081	70655.146502688	2915.21369844531
129	26	9	160082.624393188	70747.8381705876	2685.20797085034
129	26	10	160018.526752849	70788.5482604432	2779.44649265913
129	26	11	159952.143311572	70756.1495085403	2964.4707251053
129	26	12	159859.444280414	70704.376721282	3204.82525673516
129	26	13	159849.859262735	70684.6814306098	3028.86298790781
129	26	14	159963.981462837	70760.0423277603	3205.15574793112
129	26	15	159898.755410453	70766.2468806643	3115.33359455536
129	26	16	159772.823317572	70770.4035243762	3007.73785808371
129	26	17	159852.655636348	70763.0357139748	3042.83313614648
129	26	18	160077.447654177	70798.5633671333	2807.28501354662
129	26	19	159832.088244238	70827.5200484735	2791.58310201589
129	26	20	159916.174261302	70756.2560579253	3039.75002031628
