allele	cell_id	pos	x	y	z
CAST	36	28	140841.473158444	84709.6772362551	1676.56482229222
CAST	36	29	140813.677109394	84662.9611740386	1666.09435109385
CAST	36	30	140863.636838308	84412.8393831084	1624.02826607505
CAST	36	32	140873.090158416	84584.4434305144	1623.01528107526
CAST	36	33	140941.246158531	84443.4820840364	1545.964712471
CAST	36	34	140903.765392725	84505.9770515694	1530.58530887071
CAST	36	35	140846.393604593	84512.4566854724	1588.97775443482
CAST	36	36	140804.311112828	84462.2568927397	1694.95498628431
CAST	36	37	140599.325746364	84316.3584582445	1620.02286128981
CAST	36	38	140592.214905617	84274.9272565009	1574.02872469835
CAST	36	39	140832.837013982	84359.4512228843	1550.78789245418
CAST	36	40	140550.144245376	84273.1864545007	1714.53571775443
CAST	48	2	74279.4342046803	104217.803483488	4010.33793301461
