hyb	chr_num	allele	cell_id	z	x	y	z.hat	x.hat	y.hat
36	1697	CAST	11026	4641.98868366451	16677.5524706529	124134.98501376	24.9707132080141	154.494106152822	1137.48398881873
37	1697	CAST	11026	4121.02564558787	16244.6497928081	124727.094941537	22.3658980176308	150.522521952412	1142.91618999099
38	1697	CAST	11026	4161.9036430029	16326.2049687298	124401.065408446	22.570288004706	151.270734575546	1139.92509335713
40	1697	CAST	11026	4453.66103624606	16098.4860529749	124425.859711249	24.0290749709218	149.181570210823	1140.15256402504
0	1715	CAST	11035	5122.22424154311	206992.10561543	170821.084484074	27.3718909974071	1900.49918087554	1565.79682799591
1	1715	CAST	11035	5144.16718501635	206964.916088147	170844.81224863	27.4816057147732	1900.24973567112	1566.01451390928
2	1715	CAST	11035	5164.94734826259	206556.129708319	171199.004847963	27.5855065310045	1896.49940191123	1569.26398729765
3	1715	CAST	11035	5291.74878773279	207146.541437958	170751.931840836	28.2195137283555	1901.91602328407	1565.1624000763
6	1715	CAST	11035	5372.5117962945	207017.678704781	170731.546286954	28.623328771164	1900.73379637418	1564.97537664619
7	1715	CAST	11035	5210.36749187057	207042.514811609	170665.221248732	27.8126072490443	1900.96165056526	1564.366890057
8	1715	CAST	11035	5223.18824930882	206899.120370231	170685.167376446	27.8767110362356	1899.64610523152	1564.54988205437
10	1715	CAST	11035	5288.78755495153	206732.46131275	170808.826028858	28.2047075644492	1898.1171230528	1565.68436510402
11	1715	CAST	11035	5027.41088889616	206835.939074129	170550.070580788	26.8978242341723	1899.06646031315	1563.31046191072
12	1715	CAST	11035	4932.39695722092	206726.847562394	170517.758788694	26.4227545757961	1898.06562075596	1563.01402345115
13	1715	CAST	11035	5104.84642091496	206663.973892141	170861.520644037	27.2850018942663	1897.48879809308	1566.16780194053
14	1715	CAST	11035	5411.3245259535	206938.024978015	170425.147416306	28.817392419459	1900.00302823871	1562.16437783291
15	1715	CAST	11035	4959.65910722628	206760.168594264	170502.150229569	26.5590653258229	1898.37131829604	1562.87082566101
