cell_id	pos	x	y	z
23	4.0	144725.737279118	67336.5311426736	4395.19729959833
23	5.0	144801.045329121	67416.8898274777	4226.57033925725
23	6.0	144752.799996153	67102.3260440502	4518.72956865627
23	7.0	145000.622738653	67207.7045783235	4169.22743165818
23	8.0	144572.881497839	67034.4375384879	4440.33887413236
23	9.0	144743.4694093185	67122.6598463827	4277.459558738375
23	10.0	144914.057320798	67210.8821542775	4114.58024334439
23	11.0	144846.7997263185	67218.8161523912	4241.14965264312
23	12.0	144779.542131839	67226.7501505049	4367.71906194185
23	13.0	144712.2845373595	67234.6841486186	4494.288471240579
23	14.0	145709.18408961504	67555.30098228654	3583.9942991749313
23	15.0	145492.81012011503	67459.97428467503	3795.274037800431
23	16.0	145276.43615061502	67364.64758706352	4006.5537764259307
23	17.0	145060.062181115	67269.320889452	4217.83351505143
23	18.0	144843.688211615	67173.9941918405	4429.11325367693
23	19.0	144700.086928454	67527.2482299153	4186.91095814761
23	20.0	145002.430225775	67304.9422013032	4212.76400135515
23	21.0	144890.937432529	67329.44457019445	4281.96087840783
23	22.0	144779.444639283	67353.9469390857	4351.15775546051
23	23.0	144667.951846037	67378.44930797695	4420.35463251319
23	24.0	144801.16950056504	67355.28587899132	3907.695992727241
23	25.0	144802.84177741702	67323.91219168961	3978.7607651978005
23	26.0	144804.514054269	67292.5385043879	4049.82553766836
23	27.0	144806.186331121	67261.1648170862	4120.89031013892
23	28.0	144788.219272917	67142.2484715798	4610.55048403468
23	29.0	144794.876484411	67125.1894158186	4537.07199067869
23	30.0	144906.175689653	67294.8482784785	4324.69979160014
23	31.0	144855.896923004	67003.6300234729	4128.68377037973
23	32.0	144842.743164849	66963.0109228266	4235.11326228125
23	33.0	145010.6664926	66983.3654598749	4270.82141618407
23	34.0	144877.073058755	67127.3114438496	4280.87441077785
23	35.0	144953.735684158	67156.2746350283	4095.61720832247
23	36.0	144802.344056083	67281.4368110057	4122.66150434873
23	37.0	144790.091106349	67103.9377512429	4157.63367557551
